version,active_users,core_developers,peripheral_developers,retention rate,inflow rate,dropout rate,core-to-peri rate,ratio p-c,ratio a-d,stars
2019-08,417,50,92,0.5925925925925926,0.2,0.05555555555555555,0.2037037037037037,1.84,2.936619718309859,28481
2019-09,331,47,84,0.66,0.14893617021276595,0.06,0.16,1.7872340425531914,2.5267175572519083,29278
2019-10,378,72,88,0.8085106382978723,0.25,0.02127659574468085,0.10638297872340426,1.2222222222222223,2.3625,30049
2019-11,379,63,77,0.6944444444444444,0.031746031746031744,0.027777777777777776,0.2361111111111111,1.2222222222222223,2.7071428571428573,31271
2019-12,388,54,53,0.6349206349206349,0.1111111111111111,0.06349206349206349,0.1746031746031746,0.9814814814814815,3.6261682242990654,32097
2020-01,386,63,73,0.7037037037037037,0.1746031746031746,0.037037037037037035,0.1111111111111111,1.1587301587301588,2.838235294117647,33016
2020-02,299,81,83,0.7619047619047619,0.13580246913580246,0.031746031746031744,0.14285714285714285,1.0246913580246915,1.8231707317073171,33667
2020-03,376,64,106,0.6419753086419753,0.09375,0.04938271604938271,0.13580246913580246,1.65625,2.211764705882353,34477
2020-04,454,79,111,0.796875,0.1518987341772152,0.0,0.125,1.4050632911392404,2.389473684210526,35374
2020-05,394,64,93,0.5822784810126582,0.15625,0.05063291139240506,0.20253164556962025,1.453125,2.5095541401273884,36266
2020-06,374,75,97,0.796875,0.10666666666666667,0.078125,0.0625,1.2933333333333332,2.1744186046511627,37125
2020-07,453,104,101,0.7333333333333333,0.3269230769230769,0.04,0.13333333333333333,0.9711538461538461,2.209756097560976,37897
2020-08,451,82,90,0.5480769230769231,0.0975609756097561,0.14423076923076922,0.15384615384615385,1.0975609756097562,2.622093023255814,38706
2020-09,416,95,106,0.7195121951219512,0.21052631578947367,0.08536585365853659,0.13414634146341464,1.1157894736842104,2.0696517412935322,39543
2020-10,463,92,89,0.6736842105263158,0.14130434782608695,0.05263157894736842,0.10526315789473684,0.967391304347826,2.5580110497237567,40905
2020-11,437,96,78,0.6847826086956522,0.20833333333333334,0.010869565217391304,0.21739130434782608,0.8125,2.5114942528735633,41626
2020-12,394,103,89,0.71875,0.13592233009708737,0.052083333333333336,0.09375,0.8640776699029126,2.0520833333333335,42436
2021-01,384,93,84,0.6407766990291263,0.08602150537634409,0.05825242718446602,0.1941747572815534,0.9032258064516129,2.169491525423729,43228
2021-02,356,89,86,0.6666666666666666,0.1348314606741573,0.043010752688172046,0.1935483870967742,0.9662921348314607,2.0342857142857143,44058
2021-03,436,96,106,0.6966292134831461,0.125,0.02247191011235955,0.16853932584269662,1.1041666666666667,2.1584158415841586,44642
2021-04,393,85,127,0.7083333333333334,0.058823529411764705,0.03125,0.1875,1.4941176470588236,1.8537735849056605,45442
2021-05,390,83,109,0.7411764705882353,0.0963855421686747,0.03529411764705882,0.17647058823529413,1.3132530120481927,2.03125,46119
2021-06,446,85,107,0.7228915662650602,0.12941176470588237,0.03614457831325301,0.1927710843373494,1.2588235294117647,2.3229166666666665,46765
2021-07,401,95,88,0.7764705882352941,0.14736842105263157,0.03529411764705882,0.08235294117647059,0.9263157894736842,2.191256830601093,47443
2021-08,417,98,100,0.6947368421052632,0.12244897959183673,0.06315789473684211,0.15789473684210525,1.0204081632653061,2.106060606060606,48148
2021-09,411,84,103,0.6530612244897959,0.13095238095238096,0.07142857142857142,0.15306122448979592,1.2261904761904763,2.197860962566845,48872
2021-10,377,82,97,0.6547619047619048,0.13414634146341464,0.07142857142857142,0.10714285714285714,1.1829268292682926,2.106145251396648,49537
2021-11,418,91,89,0.7682926829268293,0.10989010989010989,0.036585365853658534,0.13414634146341464,0.978021978021978,2.3222222222222224,50208
2021-12,406,76,93,0.6703296703296703,0.07894736842105263,0.054945054945054944,0.10989010989010989,1.2236842105263157,2.4023668639053253,50895
2022-01,353,76,88,0.6973684210526315,0.13157894736842105,0.039473684210526314,0.13157894736842105,1.1578947368421053,2.152439024390244,51551
2022-02,352,86,95,0.6842105263157895,0.09302325581395349,0.02631578947368421,0.14473684210526316,1.1046511627906976,1.9447513812154695,52336
2022-03,415,82,109,0.627906976744186,0.10975609756097561,0.046511627906976744,0.16279069767441862,1.329268292682927,2.1727748691099475,52894
2022-04,363,81,121,0.6951219512195121,0.1111111111111111,0.07317073170731707,0.2073170731707317,1.4938271604938271,1.797029702970297,53656
2022-05,392,83,112,0.7407407407407407,0.10843373493975904,0.04938271604938271,0.1111111111111111,1.3493975903614457,2.01025641025641,54399
2022-06,433,92,127,0.7108433734939759,0.22826086956521738,0.08433734939759036,0.1686746987951807,1.3804347826086956,1.9771689497716896,55237
2022-07,444,93,118,0.7065217391304348,0.13978494623655913,0.14130434782608695,0.15217391304347827,1.2688172043010753,2.104265402843602,55922
