version,active_users,core_developers,peripheral_developers,retention rate,inflow rate,dropout rate,core-to-peri rate,ratio p-c,ratio a-d,stars
2021-09,342,113,84,0.6310679611650486,0.1592920353982301,0.038834951456310676,0.22330097087378642,0.7433628318584071,1.736040609137056,153764
2021-10,316,80,119,0.40707964601769914,0.15,0.168141592920354,0.2831858407079646,1.4875,1.5879396984924623,154591
2021-11,323,95,81,0.5875,0.14736842105263157,0.0875,0.2,0.8526315789473684,1.8352272727272727,155533
2021-12,280,97,76,0.5789473684210527,0.17525773195876287,0.07368421052631578,0.21052631578947367,0.7835051546391752,1.6184971098265897,156325
2022-01,266,80,85,0.3917525773195876,0.1,0.08247422680412371,0.30927835051546393,1.0625,1.612121212121212,157149
2022-02,278,92,85,0.5875,0.11956521739130435,0.15,0.175,0.9239130434782609,1.5706214689265536,158362
2022-03,283,94,105,0.5869565217391305,0.11702127659574468,0.09782608695652174,0.1956521739130435,1.1170212765957446,1.4221105527638191,159185
2022-04,250,100,80,0.6276595744680851,0.17,0.0851063829787234,0.2127659574468085,0.8,1.3888888888888888,160143
2022-05,251,84,93,0.51,0.09523809523809523,0.09,0.25,1.1071428571428572,1.4180790960451977,160954
2022-06,286,79,89,0.4880952380952381,0.13924050632911392,0.14285714285714285,0.27380952380952384,1.1265822784810127,1.7023809523809523,161931
2022-07,273,102,81,0.5949367088607594,0.13725490196078433,0.26582278481012656,0.13924050632911392,0.7941176470588235,1.4918032786885247,162862
